"","Anthro","fire_excl_anthro","Total_dist","time","Year"
"1",0,0,0,1,2008
"2",0,0,0,2,2009
"3",0,0,0,3,2010
"4",0,0.000149674552831445,0.000149674552831445,4,2011
"5",0,0,0,5,2012
"6",0,0,0,6,2013
"7",0,0.000128025304011416,0.000128025304011416,7,2014
"8",0,0,0,8,2015
"9",0,8.19144639157265e-05,8.19144639157265e-05,9,2016
"10",0,4.20204360672758e-05,4.20204360672758e-05,10,2017
"11",0,1.48536364167869e-05,1.48536364167869e-05,11,2018
"12",0,0.000242119647292293,0.000242119647292293,12,2019
"13",0,0.000133290942723276,0.000133290942723276,13,2020
"14",0,0,0,14,2021
"15",0,0,0,15,2022
"16",0,0,0,16,2023
"17",4,0,4,17,2024
"18",8,4.15696115387492e-05,8.00004156961154,18,2025
"19",12,0,12,19,2026
"20",16,3.82813509561458e-05,16.000038281351,20,2027
"21",20,0,20,21,2028
"22",24,3.11876252942553e-06,24.0000031187625,22,2029
"23",28,0,28,23,2030
"24",32,0,32,24,2031
"25",36,6.77201345438121e-06,36.0000067720135,25,2032
"26",40,2.30531012511916e-05,40.0000230531013,26,2033
"27",44,9.81560259660436e-05,44.000098156026,27,2034
"28",48,2.76957580973398e-05,48.0000276957581,28,2035
"29",52,0,52,29,2036
"30",56,1.51704583735889e-06,56.0000015170458,30,2037
"31",60,0,60,31,2038
"32",64,0,64,32,2039
"33",68,0,68,33,2040
"34",72,0,72,34,2041
"35",76,2.64331680767044e-05,76.0000264331681,35,2042
"36",80,1.80739553248081e-05,80.0000180739553,36,2043
